,word,freq
154,故事,4987
86,喜欢,4047
215,一部,3473
59,这部,3400
411,真的,3023
282,世界,2724
124,片子,2573
17,生活,2426
84,经典,2224
426,导演,2219
1118,感觉,2167
767,影片,2112
183,剧情,1929
511,人生,1719
240,好看,1589
135,结尾,1559
950,爱情,1547
113,孩子,1538
1696,镜头,1494
55,结局,1459
487,人物,1448
73,一种,1415
606,感动,1354
1490,音乐,1300
744,看过,1295
1159,真实,1284
498,不错,1251
396,完美,1245
28,永远,1242
236,美好,1213
1123,角色,1212
340,现实,1187
22,人性,1183
5,作品,1162
391,观众,1159
389,演员,1142
2324,中国,1139
806,希望,1132
442,表演,1129
746,情节,1119
1119,人类,1101
163,时间,1090
294,两个,1054
925,实在,1050
33,社会,1046
610,东西,1026
599,配乐,1022
138,叙事,1019
844,演技,990
1875,特别,988
593,生命,986
438,细节,982
1120,时代,977
1316,这是,975
1062,可爱,964
1349,一点,942
1399,画面,942
1501,精彩,940
1116,发现,901
58,选择,893
397,动画,891
139,本片,869
435,剧本,863
1442,日本,850
1489,美国,841
19,战争,839
1846,节奏,838
1075,只能,831
1355,情感,817
1773,地方,817
61,终于,813
413,值得,783
804,确实,771
484,题材,765
983,感情,757
1613,理解,751
256,震撼,743
623,令人,738
586,简单,734
260,意义,732
237,也许,730
2745,主角,727
1779,家庭,723
646,那种,722
463,那段,720
320,男人,718
1461,依然,717
1352,宫崎骏,715
1348,一生,709
741,深刻,707
1065,主题,707
721,台词,700
776,充满,680
431,剪辑,679
3547,小时,679
268,一段,670
92,第一次,656
434,之间,656
742,记得,653
187,场景,645
2631,感人,640
0,第一部,639
1145,风格,639
8,喜剧,634
286,一场,634
1166,表现,631
332,历史,630
1668,父亲,629
179,最终,627
1197,方式,627
2421,年代,616
62,明白,611
551,温暖,607
648,煽情,605
607,好像,601
235,回忆,596
129,自然,584
97,想起,583
3240,印象,578
349,改变,575
946,女人,572
766,事情,569
3190,自由,567
993,男主,566
35,情绪,565
2110,可惜,565
1605,关系,562
911,记忆,559
945,五星,558
1319,内心,558
602,分钟,557
1156,唯一,541
1225,老师,541
1453,朋友,541
317,成长,539
933,善良,537
1282,当年,532
1617,最佳,532
558,温情,527
959,电影院,525
1724,残酷,525
909,小时候,521
159,感受,520
3011,系列,520
1509,成功,519
3410,美丽,518
3108,孤独,517
998,浪漫,516
241,场面,512
2959,有人,512
788,几个,510
289,青春,509
148,过程,505
1170,一句,498
1869,看着,495
201,表达,491
1492,发生,491
26,黑暗,480
1487,编剧,478
246,重看,476
1011,死亡,472
1389,幸福,472
1437,韩国,471
29,国家,461
66,自我,460
455,手法,458
1523,未来,458
3956,童年,457
350,命运,455
351,梦想,453
312,重温,452
1449,一遍,447
2045,努力,446
1674,经历,442
990,悲剧,440
795,想象,439
902,动作,439
1553,小孩,439
234,少年,438
2108,设定,436
127,类型,433
453,不到,433
164,空间,432
364,银幕,432
1144,诺兰,431
1192,结束,427
2626,是因为,427
1358,细腻,426
588,这片,424
1896,告诉,422
218,豆瓣,420
1283,年轻,420
915,依旧,418
1921,结构,418
1019,名字,415
454,效果,412
1134,面对,412
976,摄影,411
881,片中,409
992,力量,409
403,搞笑,408
1893,有趣,405
1953,父母,405
71,心理,404
626,接受,403
778,精神,402
1132,观影,402
1427,很棒,397
2419,想到,394
561,奥斯卡,392
2176,像是,392
2703,适合,390
985,每次,389
1692,想要,388
39,艺术,387
313,动画片,387
1547,女主,387
188,显得,385
1000,痛苦,385
996,影响,382
1700,视角,382
499,动人,381
928,绝望,381
2731,全片,380
642,亲情,379
2864,改编,379
1082,三个,375
1620,爸爸,375
780,童话,374
2891,开头,373
315,讲述,372
2425,原著,372
622,真相,371
390,更是,369
1770,游戏,369
32,展现,368
196,设计,368
3692,英雄,368
9,天才,366
1114,眼泪,366
2753,小说,366
40,幽默,363
207,好莱坞,363
278,事件,363
392,离开,363
2595,可怕,363
472,拥有,362
1681,母亲,361
2614,励志,361
1058,语言,360
2372,魅力,360
370,背景,358
1189,灵魂,358
1325,找到,358
1391,拍摄,357
2006,多年,357
698,政治,355
826,人心,354
577,超越,353
1672,本来,353
1235,完整,352
323,影院,351
671,哥哥,351
2611,刻意,351
101,打动,349
450,思考,349
1623,长大,348
243,特效,345
1276,印度,344
2291,带来,339
747,算是,338
1622,女儿,338
1765,回到,338
131,史诗,336
716,身上,336
867,文化,336
2221,逻辑,336
